"country_territory","country_code","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Afghanistan","AFG",NA,NA,NA,NA,NA,NA,NA,25,NA,18,15,13,14,15,8,8,12,11,15,15,16,16,19,16,24
"Albania","ALB",NA,23,NA,NA,25,25,25,24,26,29,34,32,33,31,33,31,33,36,39,38,36,35,36,35,36
"Algeria","DZA",NA,NA,NA,NA,NA,26,27,28,31,30,32,28,29,29,34,36,36,36,34,33,35,35,36,33,33
"Angola","AGO",NA,NA,17,NA,17,18,20,20,22,22,19,19,19,20,22,23,19,15,18,19,19,26,27,29,33
"Argentina","ARG",30,30,35,35,28,25,25,28,29,29,29,29,29,30,35,34,34,32,36,39,40,45,42,38,38
"Armenia","ARM",NA,25,25,NA,NA,30,31,29,29,30,29,27,26,26,34,36,37,35,33,35,35,42,49,49,46
"Australia","AUS",87,87,83,85,86,88,88,88,87,86,87,87,87,88,85,81,80,79,79,77,77,77,77,73,75
"Austria","AUT",75,76,77,78,78,80,84,87,86,81,81,79,79,78,69,69,72,76,75,75,76,77,76,74,71
"Azerbaijan","AZE",NA,17,15,20,20,18,19,22,24,21,19,23,24,24,27,28,29,29,30,31,25,30,30,30,23
"Bahamas","BHS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,71,71,71,NA,66,65,65,64,63,64,64
"Bahrain","BHR",NA,NA,NA,NA,NA,61,58,58,57,50,54,51,49,51,51,48,49,51,43,36,36,42,42,42,44
"Bangladesh","BGD",NA,NA,NA,4,12,13,15,17,20,20,21,24,24,27,26,27,25,25,26,28,26,26,26,26,25
"Barbados","BRB",NA,NA,NA,NA,NA,NA,73,69,67,69,70,74,78,78,76,75,74,NA,61,68,68,62,64,65,65
"Belarus","BLR",39,34,41,NA,48,42,33,26,21,21,20,24,25,24,31,29,31,32,40,44,44,45,47,41,39
"Belgium","BEL",54,53,61,66,71,76,75,74,73,71,73,71,71,75,75,75,76,77,77,75,75,75,76,73,73
"Belize","BLZ",NA,NA,NA,NA,NA,45,38,37,35,30,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benin","BEN",NA,NA,NA,NA,NA,NA,32,29,25,27,31,29,28,30,36,36,39,37,36,39,40,41,41,42,43
"Bhutan","BTN",NA,NA,NA,NA,NA,NA,NA,NA,60,50,52,50,57,57,63,63,65,65,65,67,68,68,68,68,68
"Bolivia","BOL",28,25,27,20,22,23,22,25,27,29,30,27,28,28,34,34,35,34,33,33,29,31,31,30,31
"Bosnia and Herzegovina","BIH",NA,NA,NA,NA,NA,NA,31,29,29,33,32,30,32,32,42,42,39,38,39,38,38,36,35,35,34
"Botswana","BWA",61,61,60,60,64,57,60,59,56,54,58,56,58,61,65,64,63,63,60,61,61,61,60,55,60
"Brazil","BRA",40,41,39,40,40,39,39,NA,33,35,35,37,37,38,43,42,43,38,40,37,35,35,38,38,38
