"country_name","con_cor","gov_eff","pol_vio","regu_qual","rul_law","voi_acc","GDP","latitude","longitude","development","continent"
"Afghanistan",-1.493699789,-1.60950923,-2.702631712,-1.389163017,-1.831374288,-1.077688575,17.363293472,"33.93911","67.709953","Least Developed","Asia"
"Albania",-0.572924495,-0.15488033,0.088576451,0.221967235,-0.376249194,0.086402573,17.325131614,"41.153332","20.168331","Developing","Europe"
"Algeria",-0.666460216,-0.573433459,-0.847814322,-1.355300307,-0.800302982,-1.087952256,167.043,"28.033886","1.659626","Developing","Africa"
"American Samoa",1.266005278,0.632899344,1.09160161,0.525310516,1.119430304,0.952043474,0.7125,"-14.270972","-170.132217","Developing","Oceania"
"Andorra",1.266005278,1.749414086,1.588571787,1.335421324,1.61627841,1.086253405,3.189393098,"42.546245","1.601554","Developed","Europe"
"Angola",-0.938672543,-1.258393884,-0.600726008,-0.856853485,-0.950999379,-0.816002846,74.213601115,"-11.202692","17.873887","Least Developed","Africa"
"Anguilla",0.632469475,0.912028015,1.503742933,0.93036598,0.374158055,NA,NA,"18.220554","-63.068615","Developing","North America"
"Antigua and Barbuda",0.238533273,-0.204486713,0.929504931,0.497693717,0.407973528,0.742793262,1.57815679,"17.060816","-61.796428","Developing","North America"
"Argentina",-0.163780659,-0.253818214,-0.072026245,-0.498344272,-0.487334788,0.585294366,501.846,"-38.416097","-63.616672","Developed","South America"
"Armenia",-0.0034387,-0.304616541,-0.771642268,0.238748029,-0.125852257,0.047159709,15.335297517,"40.069099","45.038189","Developing","Asia"
"Aruba",1.199391723,1.075224519,1.371497393,0.914808512,1.270262361,1.282142997,2.868029162,"12.52111","-69.968338","Developing","North America"
"Australia",1.632955909,1.57377553,0.861676931,1.813946962,1.614245057,1.298030496,1518.35,"-25.274398","133.775136","Developed","Oceania"
"Austria",1.477789164,1.606263638,0.887528837,1.395227313,1.770163417,1.39443779,462.331,"47.516231","14.550072","Developed","Europe"
"Azerbaijan",-1.077084064,-0.155563846,-0.852247477,-0.336040139,-0.730720103,-1.541516423,58.746490196,"40.143105","47.576927","Developing","Asia"
"Bahamas",1.10620594,0.405644178,0.830237448,0.001366154,0.023263842,0.91546458,11.3932,"25.03428","-77.39628","Developed","North America"
"Bahrain",-0.09359394,0.390768141,-0.61010927,0.614857495,0.455399364,-1.453301787,39.438677394,"25.930414","50.637772","Developed","Asia"
