Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,-1.291704774,-1.176012278,-1.271724224,-1.251137018,-1.344179749,-1.35064733,-1.447252393,-1.446292281,-1.61325109,-1.672095537,-1.552298784,-1.645391107,-1.600470781,-1.430372834,-1.445908427,-1.364742875,-1.354239821,-1.540352702,-1.531909704,-1.502880573,-1.419499159,-1.493699789,-1.152327418,-1.183776498
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-2.175166607,-2.102291822,-2.173946142,-1.587687016,-1.175768018,-0.945146263,-1.228815675,-1.473651528,-1.440110564,-1.527795076,-1.50775218,-1.478315592,-1.474100471,-1.375535131,-1.399490833,-1.359304667,-1.396183848,-1.290252805,-1.388972163,-1.501345396,-1.518614173,-1.60950923,-1.669562101,-1.879552364
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.417309523,-2.427354574,-2.438968897,-2.035033703,-2.198372364,-2.295682192,-2.06750989,-2.219134569,-2.41337347,-2.69136095,-2.71142149,-2.579151869,-2.502059698,-2.418561459,-2.519349098,-2.411068439,-2.56262517,-2.662156105,-2.794973612,-2.753262043,-2.652406931,-2.702631712,-2.518530369,-2.550801754
Afghanistan,AFG,Regulatory Quality: Estimate,RQ.EST,-2.090330362,-2.062872171,-2.080252647,-1.81154573,-1.463107824,-1.511548996,-1.643440247,-1.689468622,-1.708872318,-1.607166886,-1.664507627,-1.516528249,-1.536323905,-1.192579746,-1.1930902,-1.124133706,-1.018826246,-1.339695096,-1.369762778,-1.138203621,-1.113777995,-1.389163017,-1.311682105,-1.27180624
Afghanistan,AFG,Rule of Law: Estimate,RL.EST,-1.788075447,-1.734886765,-1.780660748,-1.673473239,-1.5582937,-1.693925261,-1.662965536,-1.879004836,-1.852560043,-1.903307557,-1.876118779,-1.87005806,-1.922500134,-1.651893139,-1.609111547,-1.437044501,-1.515202641,-1.520713925,-1.583736897,-1.688586712,-1.741318822,-1.831374288,-1.87635684,-1.658442259
Afghanistan,AFG,Voice and Accountability: Estimate,VA.EST,-1.90854013,-2.039301157,-2.031417131,-1.433421016,-1.177571177,-1.203033924,-1.12542963,-1.110293984,-1.057653904,-1.168901801,-1.375495195,-1.404467344,-1.335976958,-1.267430067,-1.240068436,-1.135439992,-1.117556691,-1.037788033,-0.990814269,-1.007052064,-1.006574869,-1.077688575,-1.567889929,-1.751587272
Albania,ALB,Control of Corruption: Estimate,CC.EST,-0.893903494,-0.992024779,-0.855563641,-0.845340908,-0.853786588,-0.723731816,-0.813263893,-0.790545285,-0.706940055,-0.60521239,-0.54527092,-0.531616509,-0.701794147,-0.778729439,-0.750955939,-0.586141348,-0.544385254,-0.471469223,-0.480890602,-0.545840263,-0.563899636,-0.572924495,-0.576535523,-0.407875538
Albania,ALB,Government Effectiveness: Estimate,GE.EST,-0.688587904,-0.732602537,-0.917780161,-0.624333382,-0.563986719,-0.408371657,-0.696387231,-0.580952644,-0.427722543,-0.367063493,-0.25594148,-0.279453218,-0.202177078,-0.268925011,-0.323875934,-0.048918441,0.028239952,0.029821262,0.098735861,0.080650173,-0.062144101,-0.15488033,-0.035360068,0.065062843
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.336625129,-0.544004202,-0.539989591,-0.297719181,-0.30978024,-0.427259684,-0.505047977,-0.508157313,-0.203974649,-0.030500913,-0.045140512,-0.191482902,-0.282379419,-0.143631592,0.091929786,0.485986233,0.341639042,0.337447882,0.37376982,0.366642982,0.11004968,0.088576451,0.196294025,0.114945494
Albania,ALB,Regulatory Quality: Estimate,RQ.EST,-0.474401653,-0.441555828,-0.415910125,-0.311400771,-0.490216553,-0.187491566,-0.400731236,-0.148599386,0.034550302,0.137666509,0.241446003,0.233281955,0.283972561,0.240491986,0.254160255,0.279037684,0.174237311,0.186607629,0.22062315,0.256079823,0.272065461,0.221967235,0.175859392,0.159353822
